id,IDX_1,IDX_2,IDX_3,IDX_4,IDX_5,IDX_6,IDX_7,IDX_8,IDX_9,IDX_10,IDX_11,IDX_12,IDX_13,IDX_14,IDX_15,IDX_16,IDX_17,IDX_18,IDX_19,IDX_20,IDX_21,IDX_22,IDX_23,IDX_24,IDX_25,IDX_26,IDX_27,IDX_28,IDX_29,IDX_30,IDX_31,IDX_32,IDX_33,IDX_34,IDX_35,IDX_36,IDX_37,IDX_38,IDX_39,IDX_40,IDX_41,IDX_42,IDX_43,IDX_44,IDX_45,IDX_46,IDX_47,IDX_48,IDX_49,IDX_50,IDX_51,IDX_52,IDX_53,IDX_54,IDX_55,IDX_56,IDX_57,IDX_58,IDX_59,IDX_60,IDX_61,IDX_62,IDX_63,IDX_64,IDX_65,IDX_66,IDX_67,IDX_68,IDX_69,IDX_70,IDX_71,IDX_72,IDX_73,IDX_74,IDX_75,IDX_76,IDX_77,IDX_78,IDX_79,IDX_80,IDX_81,IDX_82,IDX_83,IDX_84,IDX_85,IDX_86,IDX_87,IDX_88,IDX_89,IDX_90,IDX_91,IDX_92,IDX_93,IDX_94,IDX_95,IDX_96,IDX_97,IDX_98,IDX_99,IDX_100,IDX_101,IDX_102,IDX_103,IDX_104,IDX_105,IDX_106,IDX_107,IDX_108,IDX_109,IDX_110,IDX_111,IDX_112,IDX_113,IDX_114,IDX_115,IDX_116,IDX_117,IDX_118,IDX_119,IDX_120,IDX_121,IDX_122,IDX_123,IDX_124,IDX_125,IDX_126,IDX_127,IDX_128,IDX_129,IDX_130,IDX_131,IDX_132,IDX_133,IDX_134,IDX_135,IDX_136,IDX_137,IDX_138,IDX_139,IDX_140,IDX_141,IDX_142,IDX_143,IDX_144,IDX_145,IDX_146,IDX_147,IDX_148,IDX_149,IDX_150,IDX_151,IDX_152,IDX_153,IDX_154,IDX_155,IDX_156,IDX_157,IDX_158,IDX_159,IDX_160,IDX_161,IDX_162,IDX_163,IDX_164,IDX_165,IDX_166,IDX_167,IDX_168,IDX_169,IDX_170,IDX_171,IDX_172,IDX_173,IDX_174,IDX_175,IDX_176,IDX_177,IDX_178,IDX_179,IDX_180,IDX_181,IDX_182,IDX_183,IDX_184,IDX_185,IDX_186,IDX_187,IDX_188,IDX_189,IDX_190,IDX_191,IDX_192,IDX_193,IDX_194,IDX_195,IDX_196,IDX_197,IDX_198,IDX_199,IDX_200
10001,0,38.30576902,47.06629012,59.87255405,0,0,3.669240364,170.6796861,0,125.0678095,0,0,58.46699004,0,36.67649588,0,0,0,0,309.1124193,0,178.8883453,41.89953801,0,0,86.88071465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10002,22.09769211,141.0745199,0,213.7089411,0,273.4287873,166.1909027,421.5820573,136.5165404,166.3805817,146.2808643,0,225.636719,0,62.49139462,78.47801809,0,143.5977379,4.60791053,165.4084648,0,0,0,3.698519172,0,14.38043013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10003,172.5919822,39.78960102,0,33.05376272,0,78.42597048,317.325097,393.641471,101.7440511,77.34026069,123.8426076,10.88950636,232.8781295,66.35882437,8.262296554,152.5303785,144.5695658,54.57091923,97.01851798,397.5568379,0,63.23742008,116.077461,90.56555281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10004,3.697441427,0,105.7301541,27.09074738,0,0,0,9.700988466,38.25110587,186.4381881,0,0,0,163.98802,3.383999447,151.1857975,166.5558731,0,0,143.7655485,0,263.1716868,292.1941104,380.4832097,234.6244712,311.7435366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10005,257.5116459,346.1423222,37.26039807,68.70604782,67.4104416,252.298228,15.48241946,54.18689306,250.8763571,6.405638339,83.35765611,181.6061473,415.4338965,176.367325,404.4879155,35.31784852,18.12501722,103.6487989,56.90153881,146.7380299,4.803122158,16.06151844,2.181235736,9.827816237,4.10849809,1.208120642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10006,8.735044872,0,0,283.8829049,11.26766409,109.1953882,0,193.5827405,0,0,0,0,274.087745,230.3918251,52.99876057,153.3228661,0,39.03484077,84.92025872,0,0,2.366484327,55.23288148,0,230.0861019,375.6668948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007,0,0,47.20431734,30.52042765,0,0,202.4883837,50.93384395,164.219985,230.1914788,36.48722315,0,0,115.5388042,0,0,70.49292219,105.1145765,0,470.7191393,0,19.78736799,241.4740512,0,82.84106105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10008,187.2289733,38.03942768,0,0,33.49513064,79.63488919,0,261.3393989,0,42.47746955,143.1795192,0,189.4730192,31.48393782,77.29861377,0,0,55.83222699,0,409.7048061,29.39272182,211.6514896,0,22.18327904,0,13.73985557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10009,0,0,0,0,242.0185628,0,304.3996338,327.6079624,0,85.30589316,0,0,0,143.7270735,24.91803697,0,0,0,41.41043042,0,0,309.0936067,171.0458383,332.5136703,114.0153545,191.8725873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10010,1.149092316,91.97589413,0,0,20.17205878,140.9332282,199.1174553,0,127.2797851,56.56838324,0,0,273.0719539,242.9744931,0,71.01826417,220.014949,81.22385368,157.8587818,0,0,12.0887879,0,23.06469592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
